Rank,Release Group,Worldwide,Domestic,%,Foreign,%
75,Baghead,"$6,425,344",-,-,"$6,425,344",100%
76,"La planète des singes, une odyssée de l'espèce","$6,334,385",-,-,"$6,334,385",100%
77,The Book of Clarence,"$6,205,230","$6,132,813",98.8%,"$72,417",1.2%
78,Someone Like You,"$5,937,306","$5,937,306",100%,-,-
79,Force of Nature: The Dry 2,"$5,744,584","$36,609",0.6%,"$5,707,975",99.4%
80,Air,"$5,468,936",-,-,"$5,468,936",100%
81,Matching,"$5,348,492",-,-,"$5,348,492",100%
82,Blue Lock: Episode Nagi,"$5,318,897",-,-,"$5,318,897",100%
83,The Goat Life,"$5,130,472","$625,000",12.2%,"$4,505,472",87.8%
84,Table for Six 2,"$4,871,447",-,-,"$4,871,447",100%
85,Anweshippin Kandethum,"$4,459,155",-,-,"$4,459,155",100%
86,Sami Swoi. Poczatek,"$4,433,525",-,-,"$4,433,525",100%
87,No Way Up,"$4,430,646","$148,582",3.4%,"$4,282,064",96.6%
88,El Roomie,"$4,418,253",-,-,"$4,418,253",100%
89,Columbia 100th Anniversary Series Columbia 100th Anniversary Series,"$4,400,720","$4,400,720",100%,-,-
90,La familia Benetón,"$4,303,042",-,-,"$4,303,042",100%
91,I soliti idioti 3: Il ritorno,"$4,174,340",-,-,"$4,174,340",100%
92,Meet the Leroys,"$4,151,252",-,-,"$4,151,252",100%
93,Dune 2024 Re-release,"$3,995,610",-,-,"$3,995,610",100%
94,Crew,"$3,936,853","$1,500,000",38.1%,"$2,436,853",61.9%
95,Fighter,"$3,800,771","$1,000,000",26.3%,"$2,800,771",73.7%
96,Manjummel Boys,"$3,784,106",-,-,"$3,784,106",100%
97,Gap Lai Chi Bau,"$3,749,297",-,-,"$3,749,297",100%
98,Frères,"$3,699,030",-,-,"$3,699,030",100%
99,Daaaaaali!,"$3,698,451",-,-,"$3,698,451",100%
100,Aavesham,"$3,624,009",-,-,"$3,624,009",100%
101,IF,"$3,600,000",-,-,"$3,600,000",100%
102,Noah's Ark,"$3,578,551",-,-,"$3,578,551",100%
103,Onmyoji Zero,"$3,566,021",-,-,"$3,566,021",100%
104,Breaking Point,"$3,532,131",-,-,"$3,532,131",100%
105,The Moon Thieves,"$3,522,654",-,-,"$3,522,654",100%
106,3391 Kilometres,"$3,506,051",-,-,"$3,506,051",100%
107,Peppa's Cinema Party,"$3,473,576",-,-,"$3,473,576",100%
108,Pare parecchio Parigi,"$3,445,925",-,-,"$3,445,925",100%
109,Dragonkeeper,"$3,438,592","$738,035",21.5%,"$2,700,557",78.5%
110,N'avoue jamais,"$3,429,405",-,-,"$3,429,405",100%
111,Shrek 2 2024 Re-release,"$3,427,910","$3,427,910",100%,-,-
112,Konets Slavy,"$3,387,736",-,-,"$3,387,736",100%
113,Lovesick Ellie,"$3,365,139",-,-,"$3,365,139",100%
114,"Baby boom, or Eggnog 5","$3,236,512",-,-,"$3,236,512",100%
115,Boléro,"$3,193,085",-,-,"$3,193,085",100%
116,Lucky Winners,"$3,184,504",-,-,"$3,184,504",100%
117,2024 Oscar Nominated Short Films: Documentary,"$3,162,293","$3,162,293",100%,-,-
118,Maria Montessori,"$3,141,561",-,-,"$3,141,561",100%
119,The Good Teacher,"$3,117,639",-,-,"$3,117,639",100%
120,Budda. Dzieciak '98,"$3,085,668",-,-,"$3,085,668",100%
121,Verliefd op Bali,"$3,069,304",-,-,"$3,069,304",100%
122,The Long Game,"$3,022,038","$3,022,038",100%,-,-
123,Too Old for Fairy Tales 2,"$2,962,925",-,-,"$2,962,925",100%
124,Boy Kills World,"$2,942,070","$2,618,001",89%,"$324,069",11%
125,Kensuke's Kingdom,"$2,919,215",-,-,"$2,919,215",100%
126,We 12,"$2,864,154",-,-,"$2,864,154",100%
127,Silent Love,"$2,739,320",-,-,"$2,739,320",100%
128,Rob N Roll,"$2,739,036",-,-,"$2,739,036",100%
129,Noche De Bodas,"$2,734,739",-,-,"$2,734,739",100%
130,Detective Conan vs. Kid the Phantom Thief,"$2,734,018",-,-,"$2,734,018",100%
131,All the Long Nights,"$2,689,624",-,-,"$2,689,624",100%
132,Dog Days,"$2,658,318",-,-,"$2,658,318",100%
133,Bade Miyan Chote Miyan,"$2,608,614","$689,505",26.4%,"$1,919,109",73.6%
134,Buzz House: The Movie,"$2,574,889",-,-,"$2,574,889",100%
135,Operation Portugal 2 - La vie de chateau,"$2,569,894",-,-,"$2,569,894",100%
136,Queen Rock Montreal,"$2,537,304","$2,000,000",78.8%,"$537,304",21.2%
137,National Theatre Live: Vanya,"$2,521,831",-,-,"$2,521,831",100%
138,Here & There,"$2,516,647",-,-,"$2,516,647",100%
139,The American Society of Magical Negroes,"$2,496,248","$2,480,645",99.4%,"$15,603",0.6%
140,Coppers,"$2,462,266",-,-,"$2,462,266",100%
141,Kral Sakir: Devler Uyandi,"$2,459,770",-,-,"$2,459,770",100%
142,De Terugreis,"$2,449,604",-,-,"$2,449,604",100%
143,50 km/h,"$2,448,552",-,-,"$2,448,552",100%
144,The Green Deal,"$2,365,956",-,-,"$2,365,956",100%
145,14 jours pour aller mieux,"$2,357,682",-,-,"$2,357,682",100%
146,Varshangalkku Shesham,"$2,354,372",-,-,"$2,354,372",100%
147,Alien 2024 Re-release,"$2,345,201","$2,305,647",98.3%,-,-
