Rank,Release Group,Worldwide,Domestic,%,Foreign,%
79,Air,"$5,468,936",-,-,"$5,468,936",100%
80,Matching,"$5,348,492",-,-,"$5,348,492",100%
81,Blue Lock: Episode Nagi,"$5,318,897",-,-,"$5,318,897",100%
82,The Goat Life,"$5,130,472","$625,000",12.2%,"$4,505,472",87.8%
83,Table for Six 2,"$4,871,447",-,-,"$4,871,447",100%
84,Anweshippin Kandethum,"$4,459,155",-,-,"$4,459,155",100%
85,Sami Swoi. Poczatek,"$4,433,525",-,-,"$4,433,525",100%
86,No Way Up,"$4,430,646","$148,582",3.4%,"$4,282,064",96.6%
87,El Roomie,"$4,418,253",-,-,"$4,418,253",100%
88,La familia Benetón,"$4,303,042",-,-,"$4,303,042",100%
89,I soliti idioti 3: Il ritorno,"$4,174,340",-,-,"$4,174,340",100%
90,Meet the Leroys,"$4,014,484",-,-,"$4,014,484",100%
91,Dune 2024 Re-release,"$3,995,610",-,-,"$3,995,610",100%
92,Crew,"$3,936,853","$1,500,000",38.1%,"$2,436,853",61.9%
93,Columbia 100th Anniversary Series Columbia 100th Anniversary Series,"$3,900,658","$3,900,658",100%,-,-
94,Fighter,"$3,800,771","$1,000,000",26.3%,"$2,800,771",73.7%
95,Manjummel Boys,"$3,784,106",-,-,"$3,784,106",100%
96,Gap Lai Chi Bau,"$3,749,297",-,-,"$3,749,297",100%
97,Daaaaaali!,"$3,698,088",-,-,"$3,698,088",100%
98,Aavesham,"$3,624,009",-,-,"$3,624,009",100%
99,IF,"$3,600,000",-,-,"$3,600,000",100%
100,Onmyoji Zero,"$3,566,021",-,-,"$3,566,021",100%
101,Noah's Ark,"$3,549,480",-,-,"$3,549,480",100%
102,Breaking Point,"$3,532,131",-,-,"$3,532,131",100%
103,The Moon Thieves,"$3,522,654",-,-,"$3,522,654",100%
104,3391 Kilometres,"$3,506,051",-,-,"$3,506,051",100%
105,Peppa's Cinema Party,"$3,473,576",-,-,"$3,473,576",100%
106,Pare parecchio Parigi,"$3,445,925",-,-,"$3,445,925",100%
107,Shrek 2 2024 Re-release,"$3,427,910","$3,427,910",100%,-,-
108,Konets Slavy,"$3,387,736",-,-,"$3,387,736",100%
109,Lovesick Ellie,"$3,365,139",-,-,"$3,365,139",100%
110,"Baby boom, or Eggnog 5","$3,236,512",-,-,"$3,236,512",100%
111,Boléro,"$3,189,194",-,-,"$3,189,194",100%
112,Lucky Winners,"$3,184,504",-,-,"$3,184,504",100%
113,2024 Oscar Nominated Short Films: Documentary,"$3,162,293","$3,162,293",100%,-,-
114,Maria Montessori,"$3,139,515",-,-,"$3,139,515",100%
115,The Good Teacher,"$3,117,639",-,-,"$3,117,639",100%
116,Dragonkeeper,"$3,101,550","$515,549",16.6%,"$2,586,001",83.4%
117,Budda. Dzieciak '98,"$3,085,668",-,-,"$3,085,668",100%
118,Verliefd op Bali,"$3,069,304",-,-,"$3,069,304",100%
119,The Long Game,"$3,015,457","$3,015,457",100%,-,-
120,Too Old for Fairy Tales 2,"$2,962,925",-,-,"$2,962,925",100%
121,Frères,"$2,942,756",-,-,"$2,942,756",100%
122,Boy Kills World,"$2,926,829","$2,618,001",89.4%,"$308,828",10.6%
123,Kensuke's Kingdom,"$2,919,215",-,-,"$2,919,215",100%
124,We 12,"$2,864,154",-,-,"$2,864,154",100%
125,N'avoue jamais,"$2,797,660",-,-,"$2,797,660",100%
126,Silent Love,"$2,739,320",-,-,"$2,739,320",100%
127,Rob N Roll,"$2,739,036",-,-,"$2,739,036",100%
128,Noche De Bodas,"$2,734,739",-,-,"$2,734,739",100%
129,Detective Conan vs. Kid the Phantom Thief,"$2,734,018",-,-,"$2,734,018",100%
130,All the Long Nights,"$2,689,624",-,-,"$2,689,624",100%
131,Dog Days,"$2,658,318",-,-,"$2,658,318",100%
132,Bade Miyan Chote Miyan,"$2,608,614","$689,505",26.4%,"$1,919,109",73.6%
133,Operation Portugal 2 - La vie de chateau,"$2,569,894",-,-,"$2,569,894",100%
134,Queen Rock Montreal,"$2,537,304","$2,000,000",78.8%,"$537,304",21.2%
135,National Theatre Live: Vanya,"$2,521,831",-,-,"$2,521,831",100%
136,The American Society of Magical Negroes,"$2,496,248","$2,480,645",99.4%,"$15,603",0.6%
137,Coppers,"$2,462,266",-,-,"$2,462,266",100%
138,Kral Sakir: Devler Uyandi,"$2,459,770",-,-,"$2,459,770",100%
139,De Terugreis,"$2,449,604",-,-,"$2,449,604",100%
140,50 km/h,"$2,448,552",-,-,"$2,448,552",100%
141,Here & There,"$2,381,844",-,-,"$2,381,844",100%
142,The Green Deal,"$2,365,956",-,-,"$2,365,956",100%
143,14 jours pour aller mieux,"$2,357,682",-,-,"$2,357,682",100%
144,Varshangalkku Shesham,"$2,354,372",-,-,"$2,354,372",100%
145,Alien 2024 Re-release,"$2,345,201","$2,305,647",98.3%,-,-
146,Tati Part Time,"$2,343,561",-,-,"$2,343,561",100%
147,Premalu,"$2,342,985",-,-,"$2,342,985",100%
148,White Bird,"$2,338,344",-,-,"$2,338,344",100%
149,Bonnard: Pierre & Marthe,"$2,312,573",-,-,"$2,312,573",100%
150,Atatürk 1881 - 1919 Film 2 Release,"$2,283,108",-,-,"$2,283,108",100%
151,Picnic,"$2,273,695",-,-,"$2,273,695",100%
152,Tillu Square,"$2,250,679","$1,870,000",83.1%,"$380,679",16.9%
153,It's Raining Men,"$2,212,690",-,-,"$2,212,690",100%
154,10 Lives,"$2,188,459",-,-,"$2,188,459",100%
155,Buzz House: The Movie,"$2,185,230",-,-,"$2,185,230",100%
156,Menudas piezas,"$2,142,999",-,-,"$2,142,999",100%
157,Don't Lose Your Head!,"$2,113,320",-,-,"$2,113,320",100%
158,Anyone But Her,"$2,110,306",-,-,"$2,110,306",100%
159,Race for Glory: Audi vs. Lancia,"$2,104,459",-,-,"$2,104,459",100%
160,The Ark and the Darkness,"$2,097,560","$2,097,560",100%,-,-
161,Aristokratka ve varu,"$2,035,808",-,-,"$2,035,808",100%
162,Et plus si affinités,"$2,016,318",-,-,"$2,016,318",100%
163,Out of Darkness,"$1,987,281","$1,951,547",98.2%,"$35,734",1.8%
164,Nedelja,"$1,905,017",-,-,"$1,905,017",100%
165,Salle des profs,"$1,855,403",-,-,"$1,855,403",100%
166,YA - medved,"$1,842,294",-,-,"$1,842,294",100%
167,Giants of la Mancha,"$1,832,715",-,-,"$1,832,715",100%
168,Un altro Ferragosto,"$1,816,797",-,-,"$1,816,797",100%
169,Love You as the World Ends: Episode #4.5,"$1,814,466",-,-,"$1,814,466",100%
170,Komandir,"$1,808,588",-,-,"$1,808,588",100%
171,Valley of Shadows,"$1,805,813",-,-,"$1,805,813",100%
172,Escape from Germany,"$1,761,763","$1,761,763",100%,-,-
173,Adam & Eve,"$1,752,038",-,-,"$1,752,038",100%
174,The Courier,"$1,751,343",-,-,"$1,751,343",100%
175,18×2 Beyond Youthful Days,"$1,749,593",-,-,"$1,749,593",100%
176,Kardes Takimi,"$1,748,615",-,-,"$1,748,615",100%
177,La ferme des Bertrand,"$1,719,910",-,-,"$1,719,910",100%
178,Teri Baaton Mein Aisa Uljha Jiya,"$1,699,722",-,-,"$1,699,722",100%
179,Dead Man,"$1,689,878",-,-,"$1,689,878",100%
180,Like a Prince,"$1,681,549",-,-,"$1,681,549",100%
181,Mothers' Instinct,"$1,673,729",-,-,"$1,673,729",100%
182,Madame de Sévigné,"$1,640,410",-,-,"$1,640,410",100%
183,Sleeping Dogs,"$1,633,670",-,-,"$1,633,670",100%
184,I Did It My Way,"$1,628,896","$198,405",12.2%,"$1,430,491",87.8%
185,The Mummy 2024 Re-release,"$1,579,230","$1,579,230",100%,-,-
186,A Silence,"$1,562,685",-,-,"$1,562,685",100%
187,The Promised Land,"$1,562,242","$257,749",16.5%,"$1,304,493",83.5%
188,Borgo,"$1,558,781",-,-,"$1,558,781",100%
189,Romeo è Giulietta,"$1,555,180",-,-,"$1,555,180",100%
190,Dune IMAX,"$1,550,188","$570,000",36.8%,"$980,188",63.2%
191,Let's Go Karaoke!,"$1,510,372",-,-,"$1,510,372",100%
192,Shaitaan,"$1,501,788",-,-,"$1,501,788",100%
193,Trust,"$1,496,585",-,-,"$1,496,585",100%
194,National Theatre Live: Dear England,"$1,485,050",-,-,"$1,485,050",100%
195,Off-Season,"$1,481,675",-,-,"$1,481,675",100%
196,Matka v trapu,"$1,477,538",-,-,"$1,477,538",100%
197,Sladky zivot,"$1,468,470",-,-,"$1,468,470",100%
198,Rocky Road to Berlin,"$1,465,147",-,-,"$1,465,147",100%
199,Firebrand,"$1,439,516",-,-,"$1,439,516",100%
200,Pozyvnoy «Passazhir»,"$1,435,785",-,-,"$1,435,785",100%
